Id xOrigin yOrigin xEnd yEnd
292 0 0.625 0 0.5
293 0 0.75 0 0.625
296 0 0.5 0 0.375
298 0 0.375 0 0.25
299 0 0.375 0.107326 0.248989
301 0.163542 0.474771 0.0933588 0.5625
302 0.0933588 0.5625 0 0.625
303 0.236887 0.601126 0.0933588 0.5625
306 0.0933588 0.5625 0 0.5
307 0.178385 0.329427 0.100088 0.394861
308 0.100088 0.394861 0 0.375
309 0.163542 0.474771 0.100088 0.394861
310 0.100088 0.394861 0 0.5
311 0.100088 0.394861 0.234709 0.408609
312 0.100088 0.394861 0.107326 0.248989
313 0.25 0.75 0.137379 0.684906
314 0.137379 0.684906 0.0933588 0.5625
315 0 0.75 0.137379 0.684906
316 0.137379 0.684906 0 0.625
317 0.137379 0.684906 0.236887 0.601126
318 0.597176 0.756016 0.67839 0.875
319 0.67839 0.875 0.75 1
320 0.75 0.75 0.67839 0.875
322 0.5 1 0.625 1
324 0.625 1 0.75 1
325 0.625 1 0.67839 0.875
326 0.5 1 0.54709 0.877411
327 0.54709 0.877411 0.597176 0.756016
329 0.54709 0.877411 0.67839 0.875
330 0.54709 0.877411 0.625 1
332 0.375 1 0.5 1
333 0.25 1 0.375 1
337 0.597176 0.756016 0.511638 0.791754
338 0.511638 0.791754 0.420698 0.773757
339 0.54709 0.877411 0.511638 0.791754
340 0.511638 0.791754 0.437551 0.682381
341 0.511638 0.791754 0.513084 0.628267
342 0.25 0.75 0.320137 0.871181
343 0.320137 0.871181 0.375 1
344 0.420698 0.773757 0.320137 0.871181
346 0.320137 0.871181 0.25 1
347 0.54709 0.877411 0.433256 0.88733
348 0.433256 0.88733 0.320137 0.871181
349 0.375 1 0.433256 0.88733
350 0.433256 0.88733 0.5 1
351 0.433256 0.88733 0.420698 0.773757
352 0.433256 0.88733 0.511638 0.791754
353 0 0.25 0 0.125
355 0 0.125 0 0
357 0 0.125 0.107326 0.248989
358 0.125 0 0.0813802 0.0813802
359 0.0813802 0.0813802 0 0.125
360 0.15625 0.135417 0.0813802 0.0813802
361 0.0813802 0.0813802 0.107326 0.248989
362 0.0813802 0.0813802 0 0
364 1 0.625 1 0.5
365 1 0.75 1 0.625
366 0.8125 0.5625 1 0.625
367 1 0.625 0.890625 0.484375
368 0.75 0.75 0.875 0.6875
369 0.875 0.6875 1 0.75
370 0.8125 0.5625 0.875 0.6875
371 0.875 0.6875 1 0.625
372 1 0.75 0.875 0.875
374 1 1 0.875 0.875
378 0.75 0.75 0.84375 0.78125
379 0.84375 0.78125 0.875 0.875
380 0.875 0.6875 0.84375 0.78125
381 0.84375 0.78125 1 0.75
383 0.75 1 0.776695 0.901695
384 0.776695 0.901695 0.875 0.875
385 0.67839 0.875 0.776695 0.901695
386 0.776695 0.901695 0.84375 0.78125
387 0.776695 0.901695 0.75 0.75
388 1 1 1 0.875
390 1 0.875 1 0.75
391 0.875 0.875 1 0.875
393 0.875 1 1 1
394 0.75 1 0.875 1
395 0.875 0.875 0.875 1
396 0.875 1 0.776695 0.901695
397 0.25 1 0.125 0.875
399 0 1 0.125 0.875
403 0.25 0.75 0.222059 0.847059
404 0.222059 0.847059 0.125 0.875
405 0.320137 0.871181 0.222059 0.847059
406 0.222059 0.847059 0.25 1
408 0 0.75 0.0972568 0.777743
409 0.0972568 0.777743 0.125 0.875
410 0.137379 0.684906 0.0972568 0.777743
411 0.0972568 0.777743 0.222059 0.847059
412 0.0972568 0.777743 0.25 0.75
413 0 1 0.125 1
415 0.125 1 0.25 1
416 0.125 0.875 0.125 1
417 0.125 0.875 0 0.875
418 0 0.875 0 0.75
419 0 1 0 0.875
420 0 0.875 0.0972568 0.777743
